DAY_TYPE,TIME_PER_HOUR,START,END,TOTAL_TRIPS,COUNT,CROWDEDNESS,START_NAME,END_NAME
WEEKDAY,0.0,CC4,CC3,21.0,5.8306864774895475,0.0,Promenade,Esplanade
WEEKDAY,0.0,CC4,CC5,291.0,105.73571873854951,0.0,Promenade,Nicoll Highway
WEEKDAY,0.0,CC4,CE2,24.0,12.726790915956414,0.0,Promenade,Marina Bay
WEEKDAY,0.0,CC4,DT15,360.0,28.59177240586448,0.0,Promenade,Promenade
WEEKDAY,0.0,CC5,CC4,67.0,23.475570482373552,0.0,Nicoll Highway,Promenade
WEEKDAY,0.0,CC5,CC6,317.0,126.22905207188285,0.0,Nicoll Highway,Stadium
WEEKDAY,0.0,CC6,CC5,57.0,22.968903815706884,0.0,Stadium,Nicoll Highway
WEEKDAY,0.0,CC6,CC7,364.0,168.79700238244186,0.0,Stadium,Mountbatten
WEEKDAY,0.0,CC7,CC6,50.0,26.53685412626589,0.0,Mountbatten,Stadium
WEEKDAY,0.0,CC7,CC8,378.0,173.8629364483759,0.0,Mountbatten,Dakota
WEEKDAY,0.0,CC8,CC7,84.0,59.60278819219995,0.0,Dakota,Mountbatten
WEEKDAY,0.0,CC8,CC9,418.0,205.63566372110319,0.0,Dakota,Paya Lebar
WEEKDAY,0.0,CC9,CC10,541.0,279.5706155401286,0.0,Paya Lebar,MacPherson
WEEKDAY,0.0,CC9,CC8,131.0,107.37551546492723,0.0,Paya Lebar,Dakota
WEEKDAY,0.0,CC9,EW8,132.0,39.98283046524629,0.0,Paya Lebar,Paya Lebar
WEEKDAY,0.0,CE1,CE2,479.0,45.215118952255175,0.0,Bayfront,Marina Bay
WEEKDAY,0.0,CE1,DT16,8.0,0.7325727158558608,0.0,Bayfront,Bayfront
WEEKDAY,0.0,CE2,CC4,423.0,45.30851216035427,0.0,Marina Bay,Promenade
WEEKDAY,0.0,CE2,CE1,18.0,6.117188100471245,0.0,Marina Bay,Bayfront
WEEKDAY,0.0,CE2,NS27,74.0,5.192810457516339,0.0,Marina Bay,Marina Bay
WEEKDAY,0.0,CG1,CG2,3.0,1.0,0.0,Expo,Changi Airport
WEEKDAY,0.0,CG1,DT35,190.0,17.706166238091217,0.0,Expo,Expo
WEEKDAY,0.0,CG1,EW4,70.0,61.44444444444444,0.0,Expo,Tanah Merah
WEEKDAY,0.0,CG2,CG1,69.0,58.0,0.0,Changi Airport,Expo
WEEKDAY,0.0,DT1,BP6,63.0,8.83316149203246,0.0,Bukit Panjang,Bukit Panjang
WEEKDAY,0.0,DT10,DT11,46.0,3.732952413083992,0.0,Stevens,Newton
WEEKDAY,0.0,DT10,DT9,871.0,536.0894171798459,0.0,Stevens,Botanic Gardens
WEEKDAY,0.0,DT10,TE11,227.0,29.573377570142277,0.0,Stevens,Stevens
WEEKDAY,0.0,DT11,DT10,1094.0,569.684985854091,0.0,Newton,Stevens
WEEKDAY,0.0,DT11,DT12,49.0,9.8721170281387,0.0,Newton,Little India
WEEKDAY,0.0,DT11,NS21,249.0,17.84999879291675,0.0,Newton,Newton
WEEKDAY,0.0,DT12,DT11,1239.0,652.0154783884274,0.0,Little India,Newton
WEEKDAY,0.0,DT12,DT13,19.0,2.7413787193198957,0.0,Little India,Rochor
